,Unnamed: 0,op_id,op_type,suc,read,write,maca,cv_dsp,"('maca', 'maca')","('maca', 'cv_dsp')","('cv_dsp', 'maca')","('cv_dsp', 'cv_dsp')"
0,0,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Conv2d_1a_3x3/Relu,Conv,['InceptionV3/InceptionV3/Conv2d_1a_3x3/Relu'],83265,70466,11650,6532990,[70466],[70466],[70466],[70466]
1,1,InceptionV3/InceptionV3/Conv2d_1a_3x3/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Conv2d_2a_3x3/Relu'],0,70466,94957,94957,[70466],[70466],[70466],[70466]
2,2,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Conv2d_2a_3x3/Relu,Conv,['InceptionV3/InceptionV3/Conv2d_2a_3x3/Relu'],0,72743,21125,2171277,[196845],[196845],[196845],[196845]
3,3,InceptionV3/InceptionV3/Conv2d_2a_3x3/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Conv2d_2b_3x3/Relu'],124102,72743,91007,91007,[72743],[72743],[72743],[72743]
4,4,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Conv2d_2b_3x3/Relu,Conv,['InceptionV3/InceptionV3/Conv2d_2b_3x3/Relu'],0,213598,32592,592472,[508024],[508024],[508024],[508024]
5,5,InceptionV3/InceptionV3/Conv2d_2b_3x3/Relu,Relu,['InceptionV3/InceptionV3/MaxPool_3a_3x3/MaxPool'],294426,213598,171020,171020,[508024],[508024],[508024],[508024]
6,6,InceptionV3/InceptionV3/MaxPool_3a_3x3/MaxPool,MaxPool,['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Conv2d_3b_1x1/Relu'],294426,29573,22988,926790,[112838],[112838],[112838],[112838]
7,7,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Conv2d_3b_1x1/Relu,Conv,['InceptionV3/InceptionV3/Conv2d_3b_1x1/Relu'],83265,29165,6239,1247502,[29165],[29165],[29165],[29165]
8,8,InceptionV3/InceptionV3/Conv2d_3b_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Conv2d_4a_3x3/Relu'],0,29165,58425,58425,[177827],[177827],[177827],[177827]
9,9,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Conv2d_4a_3x3/Relu,Conv,['InceptionV3/InceptionV3/Conv2d_4a_3x3/Relu'],148662,48313,89568,1883111,[201134],[201134],[201134],[201134]
10,10,InceptionV3/InceptionV3/Conv2d_4a_3x3/Relu,Relu,['InceptionV3/InceptionV3/MaxPool_5a_3x3/MaxPool'],152821,48313,128559,128559,[201134],[201134],[201134],[201134]
